date,Fund,Ethereum,Ripple,Bitcoin Cash,Litecoin,EOS,Cardano,Stellar,NEO,IOTA
2013-04-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-05-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-06-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-07-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-08-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-09-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-10-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-11-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2013-12-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-01-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-02-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-03-31,0.999714105285199,NaN,0.9311135369321902,NaN,0.9881224838859053,NaN,NaN,NaN,NaN,NaN
2014-04-30,0.9997151777735426,NaN,0.9285136005320931,NaN,0.9881401896244559,NaN,NaN,NaN,NaN,NaN
2014-05-31,0.9996806145191829,NaN,0.9233570642073123,NaN,0.9855343260635029,NaN,NaN,NaN,NaN,NaN
2014-06-30,0.9997073971214748,NaN,0.9266184565067623,NaN,0.9877063512647959,NaN,NaN,NaN,NaN,NaN
2014-07-31,0.9997076952190533,NaN,0.9213403162561336,NaN,0.987709424277259,NaN,NaN,NaN,NaN,NaN
2014-08-31,0.9997099606604264,NaN,0.9214496137935303,NaN,0.9888267076917392,NaN,NaN,NaN,NaN,NaN
2014-09-30,0.9997035969790441,NaN,0.9595405896378886,NaN,0.9878080897447937,NaN,NaN,-0.13912091715388455,NaN,NaN
2014-10-31,0.999887814867723,NaN,0.9784080408935849,NaN,0.993113993458972,NaN,NaN,-0.028590359478686208,NaN,NaN
2014-11-30,0.9948671141683784,NaN,0.22436586305589856,NaN,0.8050166608171215,NaN,NaN,-0.020568359815065815,NaN,NaN
2014-12-31,0.9876078185656905,NaN,0.137771915730974,NaN,0.7734353763266173,NaN,NaN,-0.18826898359146882,NaN,NaN
2015-01-31,0.987314459418333,NaN,0.2493092519039034,NaN,0.7945514054780137,NaN,NaN,-0.08176222512282405,NaN,NaN
2015-02-28,0.9854819134578504,NaN,0.160959622014475,NaN,0.7849771978753686,NaN,NaN,-0.19543209945360418,NaN,NaN
2015-03-31,0.9825964869101225,NaN,0.10387590409328849,NaN,0.8749083221663702,NaN,NaN,-0.22285497844218186,NaN,NaN
2015-04-30,0.9830123851315149,NaN,0.11754340716993254,NaN,0.8882538895791103,NaN,NaN,-0.21264629595656648,NaN,NaN
2015-05-31,0.9667999505211786,NaN,0.3553777293693741,NaN,0.6215391261023263,NaN,NaN,-0.21311622078098275,NaN,NaN
2015-06-30,0.97027471404616,NaN,0.3877866699868377,NaN,0.6128017828503403,NaN,NaN,-0.19842149581422516,NaN,NaN
2015-07-31,0.969166174039711,NaN,0.26960486997287625,NaN,0.6311791835454151,NaN,NaN,-0.2564536638456521,NaN,NaN
2015-08-31,0.9716771084769531,NaN,0.27740754597225864,NaN,0.6573146576837445,NaN,NaN,-0.19820248168111798,NaN,NaN
2015-09-30,0.9636857749266947,-0.14448271141659846,0.21998617355675218,NaN,0.658285279900199,NaN,NaN,-0.10624041768893482,NaN,NaN
2015-10-31,0.9773092178025892,0.4615122260436261,0.07899322296084375,NaN,0.6370130862222634,NaN,NaN,-0.13500485988971586,NaN,NaN
2015-11-30,0.981469144252983,0.40570071686529946,-0.08616368501298945,NaN,0.6132553974781819,NaN,NaN,-0.21246690788539183,NaN,NaN
2015-12-31,0.9894234761152292,0.43302678950629986,0.30412836034945606,NaN,0.5485423222558629,NaN,NaN,0.2656435653457255,NaN,NaN
2016-01-31,0.9842227822250915,-0.08714878450171479,0.06710904714304816,NaN,0.5019204419574261,NaN,NaN,0.12769165672843025,NaN,NaN
2016-02-29,0.979766209788671,0.055571315642262066,0.11543343375875298,NaN,0.5148237275472967,NaN,NaN,0.2667208326970401,NaN,NaN
2016-03-31,0.9766504632766505,-0.009505618246418308,0.0721628497111605,NaN,0.5141035824513184,NaN,NaN,0.21305929384074251,NaN,NaN
2016-04-30,0.9646438880742451,-0.07103895111309995,0.035669452871751245,NaN,0.4784891996475458,NaN,NaN,0.1815977790124985,NaN,NaN
2016-05-31,0.9640991428660092,-0.052222539371344856,0.004566400082121173,NaN,0.5067881343957727,NaN,NaN,0.2080378586844641,NaN,NaN
2016-06-30,0.9678204233713281,-0.08081902536709105,0.04542358689605511,NaN,0.7413392494653348,NaN,NaN,0.2998795069737884,NaN,NaN
2016-07-31,0.9700534402604256,-0.05104606409556007,0.09015546586202641,NaN,0.7559055239237502,NaN,NaN,0.3417865667340575,NaN,NaN
2016-08-31,0.964343187351785,-0.06528602137153396,0.06231432157090768,NaN,0.6341236154632022,NaN,NaN,0.23801470378806952,NaN,NaN
2016-09-30,0.9673477254851988,-0.10802549937592303,-0.05139185391998317,NaN,0.6418052884095595,NaN,NaN,0.06400034260925153,NaN,NaN
2016-10-31,0.9354876819226485,-0.25702880926880384,0.10985592824071322,NaN,0.36830884955287324,NaN,NaN,-0.01683089219236455,-0.25300399357677933,NaN
2016-11-30,0.9320128821072612,-0.2052522694396635,0.16650946916378925,NaN,0.4450518966330995,NaN,NaN,0.04328742193851711,-0.0361583830328514,NaN
2016-12-31,0.9499012703866584,-0.23227745639670389,-0.029576640267001995,NaN,0.5638597221535776,NaN,NaN,0.31054004195024787,-0.04093386218097686,NaN
2017-01-31,0.9444592041429407,0.0419594046093282,0.02344252599606627,NaN,0.5343665658168637,NaN,NaN,0.321927577499368,-0.09473836312233257,NaN
2017-02-28,0.9626549919680072,0.005452732133056846,-0.10938065269402852,NaN,0.3686447656804484,NaN,NaN,0.1275610433483084,-0.41136377885973896,NaN
2017-03-31,0.8567189315384082,-0.33965629139905856,-0.49113976701168605,NaN,-0.31676943787116174,NaN,NaN,0.006484609168023568,-0.565032980812355,NaN
2017-04-30,0.8790651872834775,-0.32006401835755083,0.13411863241951716,NaN,0.11371913962063811,NaN,NaN,0.2776139452588015,-0.3999053579310727,NaN
2017-05-31,0.9144371954141681,0.29711108640186834,0.5315343494934924,NaN,0.2524390209566117,NaN,NaN,0.7596967111489126,0.5954837015055056,NaN
2017-06-30,0.920421323584988,0.31234387545725456,0.5412368379714763,NaN,0.2768949318127758,NaN,NaN,0.7565809191658651,0.2271745855120075,NaN
2017-07-31,0.8989223031118407,0.30254161883083613,0.5276956277643498,NaN,0.2635131338052792,NaN,NaN,0.7503995507676775,0.22038269862461285,0.08227637405417253
2017-08-31,0.8995251407945802,0.2823791995933344,0.3820546624433609,0.5642495619191145,0.2630632631189104,-0.5642495619191141,NaN,0.6057754479775869,0.3088445098851827,0.5736712091487995
2017-09-30,0.9077486946515495,0.3253055111289954,0.4181872124095987,0.6222380511144718,0.31816768987215976,-0.04880388869924584,NaN,0.6348004609466659,0.32341324711968117,0.5959176160467937
2017-10-31,0.8729673549375415,0.25928153283118144,0.3522541969256727,0.5905369966552596,0.2486484009411052,-0.006898469534038412,NaN,0.646706333963102,0.2583613640127969,0.5077916898163521
2017-11-30,0.8728808708159962,0.1759352342930025,0.25631358205260096,0.5445961219734073,0.23825013592643815,0.3809558939352099,0.38282540229895334,0.611282716559421,0.15723528170928655,0.6063738453044297
2017-12-31,0.8491865752061831,0.18758171040015384,0.16464259784387433,0.5453603875704368,0.21876659536127363,0.34265521064544435,0.18072878009126392,0.5472244216259239,0.16449355321511544,0.5823310083784465
2018-01-31,0.8585373043350213,0.16190138500231077,0.20778967371826976,0.5920685684783986,0.28817337347374306,0.2903776180097903,0.20210510531864373,0.5007158348019253,0.12920886926425973,0.5998983407458816
2018-02-28,0.8635391838454642,0.20479876360344465,0.24328006246539446,0.6124385874938827,0.32112140176624077,0.32023641587238677,0.23271722120631622,0.5425100286567842,0.16814655186561478,0.6188417855844015
2018-03-31,0.9052588468723511,0.6603430523762461,0.330808618719492,0.656027032337528,0.5700933299312254,0.3519111047793472,0.2788044163646608,0.5738572137206732,0.25213781855109757,0.639218245059913
2018-04-30,0.9071437409184648,0.6696508771421166,0.3388913369004748,0.6675879673946049,0.6199603173421732,0.37164709799334394,0.29965069325262933,0.5848692645407303,0.2847647223903762,0.6558301647232977
